39.86	8.71	4.85	0.28	3.47	-0.12	2.50	1.19	2.64	3.08
34.29	1.53	27.30	0.11	3.37	0.53	5.59	3.01	4.61	12.72
46.63	11.62	52.00	0.36	2.91	0.05	3.18	1.25	1.71	4.83
41.02	4.61	57.90	0.02	3.26	5.92	0.09	11.72	-4.69	13.37
40.00	2.07	78.63	0.30	2.37	-0.20	-1.76	1.07	2.40	5.43
41.27	2.63	89.69	0.47	2.71	-1.60	6.70	1.45	-2.89	4.31
43.11	4.87	121.04	0.11	2.02	-0.04	0.34	7.46	-7.29	12.05
43.54	3.93	123.74	0.47	1.74	-0.01	0.06	1.20	-1.37	3.38
40.65	-0.73	133.12	0.32	2.18	0.12	-3.08	1.18	-3.47	4.20
45.45	13.59	9.20	0.16	3.23	2.14	4.64	3.25	3.83	3.67
42.90	6.64	12.27	0.02	4.76	-1.54	3.33	12.43	-2.95	12.97
51.84	26.24	27.98	0.02	4.35	5.51	-5.82	8.50	-0.33	12.59
38.78	7.03	40.90	0.20	1.63	0.18	4.25	0.92	3.52	10.29
47.73	15.82	62.42	0.24	2.51	-0.04	1.88	1.20	2.98	5.29
38.60	2.63	78.41	0.06	2.49	-0.18	-0.97	7.67	1.98	9.35
44.40	23.21	106.46	0.41	2.14	-0.62	1.25	1.70	-0.91	2.23
42.64	10.69	114.72	0.34	1.97	0.11	-0.42	1.60	-4.31	3.93
37.86	5.71	132.90	0.02	6.47	5.81	-0.73	16.55	-1.34	11.57
44.52	41.17	3.46	0.04	4.93	1.89	-12.45	3.65	-0.96	4.04
39.13	29.63	30.34	0.27	3.42	1.09	-5.42	1.00	-1.74	3.42
42.92	29.37	28.98	0.06	6.36	1.42	-9.43	2.87	-1.67	7.54
41.13	25.68	61.71	0.01	9.58	11.70	-1.47	7.60	-1.08	11.95
45.26	36.97	79.87	0.01	10.06	-5.48	9.74	4.92	-2.91	5.38
40.11	24.98	103.30	0.22	2.14	-0.55	3.56	1.51	-4.96	5.02
